,RPT,RPT,VAL,VAL,ROS,ROS,KIL,KIL,SHA,SHA,BIR,BIR,DUB,DUB,CLA,CLA,MUL,MUL,CLO,CLO,BEL,BEL,MAL,MAL,month,month
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Yr_Mo_Dy,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-09-30,12.1292124649,2.04131782342,10.2044765864,1.76573523807,11.4293330722,1.71399453768,6.97975567091,0.995690650005,10.873474808,1.43856183854,7.54150514593,1.32491928141,10.326147966,2.35541630403,8.90544202553,1.40483172212,8.56916630515,1.54575039757,9.76552764977,1.47715540681,13.2387871736,2.35810945523,13.7086386567,2.12369645578,6.1,3.16061286529
1962-10-31,11.8007159211,1.86065060291,9.85888614863,1.42666735225,11.1751138368,1.618094153,6.75912185968,0.958864098557,10.6024805684,1.35604031507,7.28113014593,1.11793225421,10.1540154775,2.36084809855,8.69447716378,1.24805233238,8.30962713465,1.39983052162,9.58437788018,1.30909552728,12.973965169,1.99591308176,13.6425655,2.08817857634,6.5,3.12039133848
1962-11-30,11.8097825878,1.85641624242,9.69326356799,1.44317270672,11.2392520088,1.62588211429,6.68192185968,0.976376284594,10.4837961598,1.46418362439,7.15470810292,1.07116822847,10.1525724668,2.36118491164,8.50014329281,1.35959923966,8.11303690476,1.38244063305,9.42599777266,1.28817682268,12.6427501152,1.94451358264,13.5214821667,2.03080025421,6.9,3.16061286529
1962-12-31,12.112923448,2.14251744018,9.90955765401,1.70219533533,11.4531745895,1.73197450171,6.86825949409,1.14621387033,10.7482880952,1.54988134453,7.34603874808,1.27036151128,10.4930961227,2.36235894274,8.7060228627,1.44466652134,8.28009765745,1.48265514602,9.65824454685,1.29146466246,12.8875608679,2.05159809122,14.0112913065,2.36181045259,7.3,3.27831792556
1963-01-31,12.3632944158,2.15803031094,10.0227028153,1.70326701286,11.6683520088,1.90736834736,6.90478315,1.12536418834,10.8278042243,1.52249862412,7.40907100614,1.26132542517,10.7527670904,2.31298968796,8.78940995948,1.46057372231,8.27021056068,1.48500249937,9.70277680492,1.26447421681,12.8639802227,2.06620076283,14.3518235645,2.54240113114,7.1,3.53776617001
1963-02-28,12.5890339478,2.12310368732,10.1905075772,1.71275813546,12.0098770088,1.98913760978,7.03122243572,1.16937317714,10.9309970814,1.59064481113,7.55372219662,1.34004545423,10.9344480428,2.31867690632,8.8881040071,1.52988123539,8.26496651306,1.48215001487,9.72354585253,1.27197056068,12.8275516513,2.05158147438,14.4801696237,2.61683594235,6.9,3.71200045372
1963-03-31,12.8010178187,2.12719935681,10.3929914482,1.7071118179,12.2691512024,1.92832481934,7.17759340346,1.25826120406,11.0600132104,1.6597707978,7.74820606759,1.41324920153,11.125200731,2.25110160175,9.04094271678,1.61660519103,8.34566006144,1.51495284199,9.85473940092,1.31619402514,12.9720677803,2.02455659879,14.5711534946,2.56870835653,6.7,3.81272108936
1963-04-30,12.7800678187,2.13718051907,10.3931978998,1.7070790809,12.4140442131,1.88376560215,7.23481974754,1.26836343825,11.0000218126,1.61795460243,7.81245929339,1.47434174769,11.2194571826,2.24510410666,9.08554432968,1.66929210116,8.40716274962,1.57159434894,9.92252273425,1.38661896301,12.9453511137,2.00804074824,14.6705701613,2.59782068849,6.5,3.84570847624
